none	22	timeout	43.2441	18.0171	0	5607424	60.0093	7/10
lap	23	optimal	4.78327	4.78327	4.75842	75	0.000670708	4/4
lap	24	optimal	8.44729	8.44729	6.97506	107	0.0055925	7/7
lap	25	optimal	9.23882	9.23882	8.92421	106	0.000921875	6/6
lap	26	optimal	21.7117	21.7117	20.6271	126	0.00888608	10/10
lap	27	optimal	13.8298	13.8298	12.5408	126	0.00179046	9/9
lap	28	optimal	2.61732	2.61732	2.61732	62	0.000669291	5/5
lap	29	optimal	12.7716	12.7716	11.426	112	0.00281833	10/10
lap	30	optimal	6.21791	6.42487	5.84404	48	0.000516792	6/7
none	26	timeout	43.9646	21.7117	0	4361216	60.0108	9/10
lap	31	optimal	20.0398	20.0398	19.1148	105	0.007502	10/10
lap	32	optimal	21.4331	21.4331	20.8564	128	0.00512267	9/9
lap	33	optimal	4.89935	4.89935	4.6219	91	0.000648084	5/5
lap	34	optimal	7.34903	7.34903	7.09762	91	0.000667583	5/5
lap	35	optimal	1.43783	1.44519	1.33347	61	0.000252042	2/4
lap	36	optimal	4.08813	4.08813	3.81471	75	0.00184812	4/4
lap	37	optimal	11.3526	11.3526	10.9257	93	0.00138437	8/8
lap	38	optimal	4.24769	4.24769	3.81438	56	0.000414958	6/6
lap	39	optimal	12.9182	12.9182	12.1489	120	0.00417258	7/7
lap	40	optimal	15.1715	15.1715	13.8676	91	0.00833229	8/8
lap	41	optimal	1.74473	1.74473	1.49193	44	0.000216625	4/4
lap	42	optimal	4.82436	4.82436	4.54781	75	0.000870833	4/4
lap	44	optimal	10.7848	10.7848	10.1228	106	0.00164188	6/6
lap	43	optimal	17.2146	17.2146	16.5108	133	0.0142288	8/8
lap	45	optimal	1.94728	1.95781	1.88173	59	0.000287709	2/3
lap	46	optimal	2.11218	2.11218	1.85013	60	0.000242666	4/4
lap	47	optimal	5.67578	5.67578	5.05946	95	0.00189087	6/6
lap	48	optimal	1.79811	1.89066	1.64054	63	0.000679875	2/3
lap	49	optimal	4.15743	4.15743	4.12944	75	0.000307083	4/4
lap	50	optimal	1.67493	1.92866	1.65032	53	0.000535916	2/4
lap	51	optimal	11.4282	11.4282	10.5864	131	0.00784712	7/7
lap	52	optimal	4.24816	4.48118	3.95931	83	0.000509167	3/4
lap	53	optimal	0.360314	0.595248	0.327092	32	0.000186041	1/3
lap	54	optimal	11.6617	11.6617	11.1035	58	0.00051525	9/9
lap	55	optimal	3.69083	3.69083	3.61616	44	0.000337791	6/6
lap	56	optimal	1.36181	1.46143	1.15911	34	0.000147709	3/4
lap	57	optimal	1.81221	2.05789	1.70558	58	0.00026875	1/4
lap	58	optimal	7.59587	7.59587	7.10283	321	0.0041435	7/7
lap	59	optimal	4.98616	4.98616	4.77501	76	0.00657429	5/5
lap	60	optimal	8.28442	8.28442	7.62529	107	0.0008185	6/6
lap	61	optimal	7.61672	7.61672	7.14791	68	0.00271558	9/9
lap	62	optimal	1.42332	1.48527	1.32381	67	0.000872917	1/3
lap	63	optimal	13.8232	13.8232	13.2195	99	0.00693829	9/9
lap	64	optimal	1.29149	1.48254	1.00538	42	0.000187708	3/5
lap	65	optimal	4.24231	4.24231	4.04421	75	0.00186304	4/4
lap	66	optimal	0.443842	0.594488	0.411399	26	9.9833e-05	1/3
lap	67	optimal	2.49268	2.49268	2.09505	96	0.000800667	4/4
lap	68	optimal	5.54658	5.54658	5.27913	91	0.000762875	5/5
lap	69	optimal	19.979	19.979	18.699	105	0.00860296	10/10
lap	70	optimal	11.983	11.983	11.2491	127	0.00514683	7/7
lap	71	optimal	2.30069	2.38397	2.17308	58	0.000344167	2/3
lap	72	optimal	4.36637	4.36637	3.86864	78	0.000443125	4/4
lap	73	optimal	12.5744	12.5744	11.3649	136	0.00217162	9/9
lap	74	optimal	26.8318	26.8318	24.596	149	0.0100674	10/10
lap	75	optimal	15.3552	15.3552	14.0471	104	0.00576079	10/10
lap	76	optimal	18.1736	18.1736	16.8237	126	0.012876	10/10
lap	77	optimal	8.07579	8.07579	7.53708	123	0.00307179	5/5
