# Outcome of every (configuration, instance family) cell of the option sweep.
# Generated by option_sweep_test; after reviewing a diff, regenerate with
#     GSS_SWEEP_REGENERATE=1 ./build/option_sweep_test
# A silent divergence fails the build whatever this file says; what this file is
# for is making a newly unsupported or newly vacuous cell show up as a reviewable
# diff rather than as nothing at all. See dev_docs/option-compatibility.md.
#
# config is one digit per option column, value 0 being the solver's default:
#   injectivity induced count clique-detection supplementals exact-paths distance3 k4 nds cliques cliques-on-supplementals staged restarts nogoods value-ordering 
# outcome: ok | unsupported (UnsupportedConfiguration thrown) | diverges
# activation: active if any optional filter removed anything in any instance of the cell
config	family	outcome	activation
100000000000201	loopless-undirected-vlabels	ok	active
100000000000201	loopless-undirected-vlabels-elabels	ok	active
100000000000201	loopy-directed-elabels	ok	vacuous
100000000000201	loopy-directed-unlabelled	ok	vacuous
100000000000201	loopy-directed-vlabels	ok	vacuous
100000000000201	loopy-directed-vlabels-elabels	ok	vacuous
100000000000201	loopy-undirected-elabels	ok	vacuous
100000000000201	loopy-undirected-unlabelled	ok	vacuous
100000000000201	loopy-undirected-vlabels	ok	vacuous
100000000000201	loopy-undirected-vlabels-elabels	ok	vacuous
100000000000201	pattern-bigger-than-target	ok	active
100001000000012	clique-pattern	ok	vacuous
100001000000012	equal-size	ok	active
100001000000012	loopless-directed-elabels	ok	active
100001000000012	loopless-directed-unlabelled	ok	active
100001000000012	loopless-directed-vlabels	ok	active
100001000000012	loopless-directed-vlabels-elabels	ok	active
100001000000012	loopless-undirected-elabels	ok	active
100001000000012	loopless-undirected-unlabelled	ok	active
100001000000012	loopless-undirected-vlabels	ok	active
100001000000012	loopless-undirected-vlabels-elabels	ok	active
100001000000012	loopy-directed-elabels	ok	vacuous
100001000000012	loopy-directed-unlabelled	ok	vacuous
100001000000012	loopy-directed-vlabels	ok	vacuous
100001000000012	loopy-directed-vlabels-elabels	ok	vacuous
100001000000012	loopy-undirected-elabels	ok	vacuous
100001000000012	loopy-undirected-unlabelled	ok	vacuous
100001000000012	loopy-undirected-vlabels	ok	vacuous
100001000000012	loopy-undirected-vlabels-elabels	ok	vacuous
100001000000012	pattern-bigger-than-target	ok	active
100010001000000	clique-pattern	ok	vacuous
100010001000000	equal-size	ok	active
100010001000000	loopless-directed-elabels	ok	active
100010001000000	loopless-directed-unlabelled	ok	active
100010001000000	loopless-directed-vlabels	ok	active
100010001000000	loopless-directed-vlabels-elabels	ok	active
100010001000000	loopless-undirected-elabels	ok	active
100010001000000	loopless-undirected-unlabelled	ok	active
100010001000000	loopless-undirected-vlabels	ok	active
100010001000000	loopless-undirected-vlabels-elabels	ok	active
100010001000000	loopy-directed-elabels	ok	vacuous
100010001000000	loopy-directed-unlabelled	ok	vacuous
100010001000000	loopy-directed-vlabels	ok	vacuous
100010001000000	loopy-directed-vlabels-elabels	ok	vacuous
100010001000000	loopy-undirected-elabels	ok	vacuous
100010001000000	loopy-undirected-unlabelled	ok	vacuous
100010001000000	loopy-undirected-vlabels	ok	vacuous
100010001000000	loopy-undirected-vlabels-elabels	ok	vacuous
100010001000000	pattern-bigger-than-target	ok	active
100100001000000	clique-pattern	ok	active
100100001000000	equal-size	ok	active
100100001000000	loopless-directed-elabels	ok	active
100100001000000	loopless-directed-unlabelled	ok	active
100100001000000	loopless-directed-vlabels	ok	active
100100001000000	loopless-directed-vlabels-elabels	ok	active
100100001000000	loopless-undirected-elabels	ok	active
100100001000000	loopless-undirected-unlabelled	ok	active
100100001000000	loopless-undirected-vlabels	ok	active
100100001000000	loopless-undirected-vlabels-elabels	ok	active
100100001000000	loopy-directed-elabels	ok	vacuous
100100001000000	loopy-directed-unlabelled	ok	vacuous
100100001000000	loopy-directed-vlabels	ok	vacuous
100100001000000	loopy-directed-vlabels-elabels	ok	vacuous
100100001000000	loopy-undirected-elabels	ok	vacuous
100100001000000	loopy-undirected-unlabelled	ok	vacuous
100100001000000	loopy-undirected-vlabels	ok	vacuous
100100001000000	loopy-undirected-vlabels-elabels	ok	vacuous
100100001000000	pattern-bigger-than-target	ok	active
100100001110000	clique-pattern	ok	active
100100001110000	equal-size	ok	active
100100001110000	loopless-directed-elabels	ok	active
100100001110000	loopless-directed-unlabelled	ok	active
100100001110000	loopless-directed-vlabels	ok	active
100100001110000	loopless-directed-vlabels-elabels	ok	active
100100001110000	loopless-undirected-elabels	ok	active
